date,state,district,total_bio_updates
2025-03-31,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,209
2025-03-31,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,279
2025-03-31,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,817
2025-03-31,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,1398
2025-03-31,ANDHRA PRADESH,ADILABAD,5263
2025-03-31,ANDHRA PRADESH,ALLURI SITHARAMA RAJU,1993
2025-03-31,ANDHRA PRADESH,ANAKAPALLI,452
2025-03-31,ANDHRA PRADESH,ANANTAPUR,9862
2025-03-31,ANDHRA PRADESH,ANANTHAPUR,13937
2025-03-31,ANDHRA PRADESH,ANANTHAPURAMU,16150
2025-03-31,ANDHRA PRADESH,ANNAMAYYA,505
2025-03-31,ANDHRA PRADESH,BAPATLA,245
2025-03-31,ANDHRA PRADESH,CHITTOOR,28187
2025-03-31,ANDHRA PRADESH,CUDDAPAH,16821
2025-03-31,ANDHRA PRADESH,DR. B. R. AMBEDKAR KONASEEMA,297
2025-03-31,ANDHRA PRADESH,EAST GODAVARI,29798
2025-03-31,ANDHRA PRADESH,ELURU,479
2025-03-31,ANDHRA PRADESH,GUNTUR,31259
2025-03-31,ANDHRA PRADESH,HYDERABAD,12006
2025-03-31,ANDHRA PRADESH,K.V. RANGAREDDY,17
2025-03-31,ANDHRA PRADESH,KAKINADA,520
2025-03-31,ANDHRA PRADESH,KARIM NAGAR,143
2025-03-31,ANDHRA PRADESH,KARIMNAGAR,1419
2025-03-31,ANDHRA PRADESH,KHAMMAM,3925
2025-03-31,ANDHRA PRADESH,KRISHNA,26703
2025-03-31,ANDHRA PRADESH,KURNOOL,38238
2025-03-31,ANDHRA PRADESH,MAHABUB NAGAR,314
2025-03-31,ANDHRA PRADESH,MAHBUBNAGAR,1388
2025-03-31,ANDHRA PRADESH,MEDAK,1909
2025-03-31,ANDHRA PRADESH,N. T. R,1120
2025-03-31,ANDHRA PRADESH,NALGONDA,1893
2025-03-31,ANDHRA PRADESH,NANDYAL,563
2025-03-31,ANDHRA PRADESH,NELLORE,11353
2025-03-31,ANDHRA PRADESH,NIZAMABAD,910
2025-03-31,ANDHRA PRADESH,PALNADU,604
2025-03-31,ANDHRA PRADESH,PARVATHIPURAM MANYAM,849
2025-03-31,ANDHRA PRADESH,PRAKASAM,19233
2025-03-31,ANDHRA PRADESH,RANGAREDDI,6250
2025-03-31,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,282
2025-03-31,ANDHRA PRADESH,SRI SATHYA SAI,1201
2025-03-31,ANDHRA PRADESH,SRIKAKULAM,29981
2025-03-31,ANDHRA PRADESH,TIRUPATI,650
2025-03-31,ANDHRA PRADESH,VISAKHAPATNAM,36993
2025-03-31,ANDHRA PRADESH,VIZIANAGARAM,18439
2025-03-31,ANDHRA PRADESH,WARANGAL,5249
2025-03-31,ANDHRA PRADESH,WEST GODAVARI,25336
2025-03-31,ANDHRA PRADESH,Y. S. R,560
2025-03-31,ARUNACHAL PRADESH,ANJAW,134
2025-03-31,ARUNACHAL PRADESH,CHANGLANG,822
2025-03-31,ARUNACHAL PRADESH,DIBANG VALLEY,56
2025-03-31,ARUNACHAL PRADESH,EAST KAMENG,433
2025-03-31,ARUNACHAL PRADESH,EAST SIANG,265
2025-03-31,ARUNACHAL PRADESH,KRA DAADI,197
2025-03-31,ARUNACHAL PRADESH,KURUNG KUMEY,629
2025-03-31,ARUNACHAL PRADESH,LOHIT,464
2025-03-31,ARUNACHAL PRADESH,LONGDING,262
